"Model Name","Parameters","Category","Best Feature"
"AgentCPM-Explore","4B","Agent (LLM-based)","Long-horizon tasks with 100+ interaction rounds and multi-source validation on benchmarks like GAIA ."
"google_gemma-scope-2-27b-pt","27B","Language model (likely scope/PT variant)","Part of Gemma 3 family for efficient text generation in various precisions ."
"stepfun-ai_Step3-VL-10B","10B","Vision-language (multimodal)","Balances small size with high intelligence for VL tasks ."
"microsoft_VibeVoice-ASR","Not specified","Audio (ASR/speech-to-text)","Handles 60-minute long-form audio in single-pass with consistent speaker tracking ."
"nvidia_personaplex-7b-v1","7B","Audio (conversational speech)","Voice/role control in full-duplex conversations using Moshi architecture at 24kHz ."
"zai-org/GLM-4.7-Flash","30B (MoE, active ~3B?)","Language model (MoE)","128K context with strong coding performance ."
"parakeet-tdt-0.6b-v3","0.6B","Audio (multilingual ASR)","High-throughput multilingual speech recognition ."
"Qwen_Qwen3-TTS-12Hz-1.7B-CustomVoice","1.7B","Audio (TTS)","Custom voice cloning with style control in 10 languages, low-latency streaming ."
"Qwen_Qwen3-TTS-12Hz-1.7B-VoiceDesign","1.7B","Audio (TTS)","Voice design from descriptions with instruction control, multilingual support ."
"stabilityai_stable-diffusion-3-medium-diffusers","Medium (~2B est.)","Image generation","Improved typography and complex prompt understanding via MMDiT ."
"stabilityai_stable-video-diffusion-img2vid-xt-1-1","Not specified","Video generation (img2vid)","Generates 25 frames at 1024x576 from input image with motion control ."
"Qwen_Qwen3-TTS-Tokenizer-12Hz","Not specified (tokenizer)","Audio (speech tokenizer)","Efficient acoustic compression preserving paralinguistics for TTS pipeline ."
"siglip2-so400m-patch16-512","400M (SO400M)","Vision encoder (image-text)","Multilingual zero-shot classification and dense features at 512x512 ."
"MCG-NJU_videomae-large","0.3B","Video encoder (self-supervised)","Masked autoencoding for video classification via ViT patches ."